sentence,letter
"A la cinquantaine, les hommes et les femmes éprouvent le besoin de se mettre en question et ils ont suffisamment d'assurance pour faire ce retour sur soi, note la psychanalyste Luce Janin-Devillars (Changer sa vie, Pocket).",C
Personne n'a envie de vivre dans la rue.,A
"Lors donc que j'entendais la médiocrité disserter avec complaisance sur des principes bien établis, bien incontestables, en fait de morale, de convenance ou de religion, choses qu'elle met assez volontiers sur la même ligne, je me sentais poussé à la contredire, non que j'eusse adopté des opinions opposées, mais parce que j'étais impatienté d'une conviction si ferme et si lourde.",C
Tu n'oubliais pas ! Tu nettoyais la demeure de fond en combles.,A
"Salut! Je suis espagnole, et toi?",A
Il commence même déjà à dater.,A
"Une déclaration qui tranche avec celle qu'elle a tenue au site Reporterre, le 25 février.",B
"En 2019, le taux d'imposition de l'énergie était de 335 francs par tonne d'équivalent pétrole (TEP), une unité de mesure qui permet de comparer entre eux les différents agents énergétiques.",C
"Un néant à l'égard de l'infini, un tout à l'égard du néant, un milieu entre rien et tout, infiniment éloigné de comprendre les extrêmes."" Notre Pascal est celui de l'homme situé entre deux infinis, mélange de folie et de sagesse.",C
"Je lui écrivisse la suppliai de m'accorder une dernière entrevue ; je lui peignis en termes déchirants mon désespoir, les projets funestes que m'inspirait sa cruelle détermination.",C
"D'abord, la dernière élection présidentielle, où le vote pour le Front national fut autant le fait des jeunes électeurs que de leurs aînés.",C
"Avant Noel, vous achetez des cadeaux pour tout le monde.",A
"Elle me répondit avec bonté, me donna des conseils affectueux, m'offrit une amitié sincère, mais me déclara que jusqu'au retour du comte de P *** elle ne pourrait me recevoir.",C
Elle a un physique ingrat.,A
On est tous ensemble.,A
Recourons pour illustrer les idées de Hegel à quelques-uns de ses écrits postérieurs.,C
Vous êtes prêt à entrer dans cette histoire ?,A
Il n'est pas fatigué et décide de marcher jusqu'à Notre Dame de la Garde,A
"Le sens des textes, qui se confond avec ces deux expériences, apparait clairement comme inséparable du décalage pragmatique, volontairement instauré, entre l'oeuvre philosophique et le ridicule d'une énonciation musicale.",C
Elle sait parler anglais et espagnol,A
"Mais sous les accents harmonieux d'un Schleiermacher, sous la pieuse virtuosité de Tieck et l'ironie de Schlegel, Hegel discerne aisément le tourment de l'esprit.",C
"Vous n'avez pas, Monsleur Mitterrand, le monopole du ceur",A
"Il ne la connaît pas bien, alors il demande à ses autres collègues",A
"Lorsqu'il y a des mouvements sociaux en France, la présence des jeunes, étudiants et lycéens, est souvent déterminante.",B
Elle partage un appartement avec deux garçons.,A
Il est primordial que le gouvernement poursuive ses efforts pour conforter la reprise économique dans ce pays,B
Il va beaucoup mieux depuis qu'il a changé de travail.,A
"Je suis encore au bureau, je vais rentrer plus tard.",A
C'est aussi un test pour les couples nouvellement formés ou qui n'avaient jamais expérimenté la vie à deux.,B
"Dans pas longtemps, je vais proposer des dictées.",A
"Si quelque petit champ de cinquante pas de large vient interrompre de temps à autre les bouquets de châtaigniers et de cerisiers sauvages, l'oeil satisfait y voit croître des plantes plus vigoureuses et plus heureuses là qu'ailleurs.",C
"Hélas: c'est une interjection qui exprime la plainte, la souffrance, le regret.",B
"Emma, de même, aurait voulu, fuyant la vie, s'envoler dans une étreinte.",B
"Les populations passent alors d'un régime alimentaire traditionnel reposant sur les céréales, racines ou tubercules, comportant une faible proportion de lipides, peu de produits d'origine animale et une forte teneur en fibres, à une alimentation beaucoup plus riche en sucre, en lipides, en sel et, au total, en calories.",C
C'est les discussions d'aujourd'hui.,A
Alors comment ça marche ?,A
Vos regards m'observent.,A
"La salle internet est la deuxième salle après les toilettes, à gauche.",A
"Jour du Seigneur cher à l'Église, il est supprimé après la révolution de 1789, puis voué aux gémonies par Napoléon, sous prétexte que, ""le peuple mangeant le dimanche, il doit pouvoir travailler le dimanche"".",B
"J'étais assez calme, j'avais beaucoup de copains et je passais des heures avec eux tous les jours",A
"Et je pense partir et quitter ma maison, car j'élève seule mes trois enfants",A
Vous avez une réduction ?,A
"Le lendemain de son 50ème anniversaire, on lui diagnostique un cancer du poumon en phase terminale avec une espérance de vie estimée à deux ans.",B
"En effet, le risque pour un homme comme Calliclès décidant de mener une vie intempérante et désordonnée est de devenir l'esclave de ses propres passions et désirs",C
Chacun de ses projets touche en moyenne 10000 classes.,B
Devenir chêvre,B
Maintenant vous comprenez mon excitation,A
"Forestier, tout à fait vautré sur les coussins, riait, buvait, mangeait sans cesse et jetait parfois une parole tellement osée ou tellement crue que les femmes, un peu choquées par la forme et pour la forme, prenaient un petit air gêné qui durait deux ou trois secondes.",C
Il a dû téléphoner au médecin de garde.,A
Parlez-moi de votre famille.,A
Il travaille à Rome,A
"Cette quête de l'altérité zonale laissa au milieu du XXe une marque géographique frappante : lorsque s'imposa l'idée de tiers-monde, il s'avéra que les pays sous-développés étaient alors très majoritairement situés dans la zone intertropicale, le ""Sud"".",C
"Moi, leur turbulence me fatiguait et je trouvais distingué de m'ennuyer auprès de M. Barrault pendant qu'ils jouaient aux barres.",B
Celle‐ci est idéalement réduite dans la mesure du possible à travers la définition de critères de classification clairs et par la triangulation des points de vue des experts du domaine.,C
Quelle tête à claques celle-là !,A
"Oui, c'est une bonne idée, dit-elle et elle descendit de l'échafaudage.",A
Il fait très beau,A
Nous apportons des arguments experimentaux et théoriques en faveur d'un mecanisme intramoleculaire.,C
La montée des valeurs humanistes est une réalité qui se poursuit et s'affirme.,B
"La ""visio"" atténuera sans doute l'émotion des retrouvailles et la solennité des adieux.",B
"Lucien Neuwirth, pionnier de la contraception, est mort dans la nuit de lundi à mardi à 89 ans, des suites d'une infection pulmonaire, à l'hôpital Rossini-Sainte-Périne à Pans",C
